time,variable,dataset,entity_id,sensor_name,sensor_lat,sensor_lon,qc_value,local_moran_i,p_value_two_sided,hotspot_label
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,58.30272743918679,0.0152,0.9,non_significant
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,23.88380917635831,-0.1717,0.75,non_significant
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,5.635792588194211,-1.0898,0.05,LH
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,58.08166694641113,0.0178,0.85,non_significant
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,50.72555669148763,-0.6171,0.2,non_significant
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,2.947732817042957,0.1457,0.6,non_significant
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,59.63916778564453,0.4441,0.1,non_significant
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,36.83454617587003,-0.0102,0.85,non_significant
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,57.919166564941406,-0.402,0.25,non_significant
2024-12-31 07:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,32.78754234313965,0.0169,0.85,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,21.520740699768066,-0.0685,0.85,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,58.04500045776367,-0.0124,0.8,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,25.098654660311613,-0.159,0.55,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,7.033010634509,-1.0938,0.1,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,57.94500045776367,-0.011,0.9,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,50.714546550403945,-0.6515,0.15,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,2.9683669697154653,0.1687,0.65,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,57.63545504483309,0.4143,0.35,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,36.88099975585938,0.0098,0.9,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,57.91454523259943,-0.3827,0.35,non_significant
2024-12-31 08:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,33.05666255950928,0.0117,0.8,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,22.916202718561347,-0.0603,0.75,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,57.86199989318848,0.0055,0.95,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,27.253160285949708,-0.1294,0.45,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,7.799106294458562,-1.0842,0.1,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,57.74545461481268,0.007,0.9,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,50.86272777210582,-0.6428,0.1,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,3.310415506362915,0.1504,0.55,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,58.07599983215332,0.4146,0.4,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,36.98727347634056,0.0226,0.9,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,58.404000473022464,-0.3914,0.35,non_significant
2024-12-31 09:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,32.52067931493124,0.0107,0.95,non_significant
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,22.83499161402385,-0.1096,0.7,non_significant
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,57.75363610007546,0.0276,0.75,non_significant
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,26.024445620450106,-0.1423,0.6,non_significant
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,10.876550912857056,-1.056,0.05,LH
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,58.17090814763849,0.0226,1.0,non_significant
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,50.12999954223633,-0.6068,0.25,non_significant
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,3.710270953178406,0.1576,0.5,non_significant
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,59.07454508001154,0.4678,0.15,non_significant
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,36.70900039672851,0.0463,0.9,non_significant
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,58.405555725097656,-0.3389,0.5,non_significant
2024-12-31 10:00:00+00:00,NO2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,34.47191937764486,0.0021,1.0,non_significant
