variable,reference_variable,lag_hours,dataset,entity_id,sensor_name,sensor_lat,sensor_lon,traffic_association_count,traffic_association_mode,traffic_association_max_distance_m,traffic_association_ids,dominant_pattern,significant_moments_pct,significant_moments,HH_moments,LL_moments,HL_moments,LH_moments,observed_moments_pct,insufficient_moments_pct,missing_moments,mean_local_moran_i,mean_p_value,variable_signal_pct,map_color
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2466,Av. Descubrimiento de América,37.618964,-1.027056,1,nearest_fallback,3324.4,anprFlowObserved:12,HH,3.71,80,71,0,0,9,100.0,18.3,0,0.5342,0.484,2.05,#b91c1c
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0222,Aquatec - Capitanes Ripoll,37.60623,-0.977768,1,nearest_fallback,337.0,anprFlowObserved:4,HH,3.43,73,73,0,0,0,98.61,18.2,30,1.4518,0.5605,2.05,#b91c1c
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867ae312,C/ Loma de Canteras,37.618388,-1.032256,1,nearest_fallback,3744.9,anprFlowObserved:12,HH,3.39,73,73,0,0,0,99.72,18.2,6,0.6928,0.4879,1.9,#b91c1c
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1c56,C/ Zorita,37.614798,-1.043541,1,nearest_fallback,4645.3,anprFlowObserved:12,HH,3.38,73,71,0,0,2,100.0,18.2,0,0.4921,0.4873,1.9,#b91c1c
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2466,Av. Descubrimiento de América,37.618964,-1.027056,1,nearest_fallback,3324.4,anprFlowObserved:12,HH,3.38,73,63,0,0,10,100.0,18.2,0,0.526,0.4873,1.9,#b91c1c
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c28e2,Aquatec - C/San Diego,37.60347,-0.97896,1,nearest_fallback,364.1,anprFlowObserved:4,HH,3.38,73,73,0,0,0,100.0,18.25,0,1.3232,0.5626,2.05,#b91c1c
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,1,nearest_fallback,326.7,anprFlowObserved:4,LH,3.38,73,0,0,0,73,100.0,18.25,0,-0.565,0.5626,2.05,#7c3aed
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0222,Aquatec - Capitanes Ripoll,37.60623,-0.977768,1,nearest_fallback,337.0,anprFlowObserved:4,HH,3.33,71,71,0,0,0,98.61,18.2,30,1.4543,0.5596,2.03,#b91c1c
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c28e2,Aquatec - C/San Diego,37.60347,-0.97896,1,nearest_fallback,364.1,anprFlowObserved:4,HH,3.29,71,71,0,0,0,100.0,18.3,0,1.3244,0.5619,2.03,#b91c1c
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,1,nearest_fallback,326.7,anprFlowObserved:4,LH,3.29,71,0,0,0,71,100.0,18.3,0,-0.5616,0.5619,2.03,#7c3aed
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0222,Aquatec - Capitanes Ripoll,37.60623,-0.977768,1,nearest_fallback,337.0,anprFlowObserved:4,HH,3.05,65,65,0,0,0,98.61,18.2,30,1.4541,0.5627,2.04,#b91c1c
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c28e2,Aquatec - C/San Diego,37.60347,-0.97896,1,nearest_fallback,364.1,anprFlowObserved:4,HH,3.01,65,65,0,0,0,100.0,18.34,0,1.3173,0.5644,2.04,#b91c1c
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,1,nearest_fallback,326.7,anprFlowObserved:4,LH,3.01,65,0,0,0,65,100.0,18.34,0,-0.5595,0.5644,2.04,#7c3aed
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c249e,Aquatec - C/ Jimenez de la Espada,37.60783,-0.99,4,radius,230.2,anprFlowObserved:11|anprFlowObserved:12|anprFlowObserved:9|anprFlowObserved:17,LH,2.96,33,0,0,0,33,51.64,12.78,1044,-0.1976,0.5443,2.04,#7c3aed
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0222,Aquatec - Capitanes Ripoll,37.60623,-0.977768,1,nearest_fallback,337.0,anprFlowObserved:4,HH,2.58,55,55,0,0,0,98.61,18.16,30,1.4493,0.5608,1.9,#b91c1c
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c28e2,Aquatec - C/San Diego,37.60347,-0.97896,1,nearest_fallback,364.1,anprFlowObserved:4,HH,2.55,55,55,0,0,0,100.0,18.16,0,1.3209,0.5638,1.9,#b91c1c
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOPe0e2e632fa1e,Aquatec - C/ Serreta,37.60355,-0.98363,1,nearest_fallback,326.7,anprFlowObserved:4,LH,2.55,55,0,0,0,55,100.0,18.16,0,-0.5682,0.5638,1.9,#7c3aed
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c249e,Aquatec - C/ Jimenez de la Espada,37.60783,-0.99,4,radius,230.2,anprFlowObserved:11|anprFlowObserved:12|anprFlowObserved:9|anprFlowObserved:17,LH,2.51,28,0,0,0,28,51.64,12.74,1044,-0.2019,0.5515,2.03,#7c3aed
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c249e,Aquatec - C/ Jimenez de la Espada,37.60783,-0.99,4,radius,230.2,anprFlowObserved:11|anprFlowObserved:12|anprFlowObserved:9|anprFlowObserved:17,LH,2.06,23,0,0,0,23,51.64,12.69,1044,-0.2053,0.5446,2.05,#7c3aed
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c249e,Aquatec - C/ Jimenez de la Espada,37.60783,-0.99,4,radius,230.2,anprFlowObserved:11|anprFlowObserved:12|anprFlowObserved:9|anprFlowObserved:17,LH,1.88,21,0,1,0,20,51.64,12.6,1044,-0.2084,0.5495,1.9,#7c3aed
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c087e,Aquatec - Ctra de la Algameca,37.60379977,-0.99406271,1,radius,278.8,anprFlowObserved:10,LL,1.49,32,0,32,0,0,99.72,38.35,6,1.0642,0.3165,2.05,#1d4ed8
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c087e,Aquatec - Ctra de la Algameca,37.60379977,-0.99406271,1,radius,278.8,anprFlowObserved:10,LL,1.21,26,0,24,2,0,99.72,38.4,6,1.076,0.3176,2.03,#1d4ed8
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1c9e,AQ2 - San Francisco,37.6019439,-0.983765,1,nearest_fallback,413.8,anprFlowObserved:8,LL,1.15,1,0,1,0,0,4.03,1.57,2072,1.3108,0.3472,2.04,#1d4ed8
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c087e,Aquatec - Ctra de la Algameca,37.60379977,-0.99406271,1,radius,278.8,anprFlowObserved:10,LL,1.11,24,0,24,0,0,99.72,38.44,6,1.0848,0.3158,2.04,#1d4ed8
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c087e,Aquatec - Ctra de la Algameca,37.60379977,-0.99406271,1,radius,278.8,anprFlowObserved:10,LL,0.98,21,0,20,1,0,99.72,38.3,6,1.0568,0.3177,1.9,#1d4ed8
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,4,radius,284.7,anprFlowObserved:17|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,mixed,0.8,17,9,0,0,8,98.61,18.2,30,0.0524,0.54,2.03,#0f766e
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,4,radius,284.7,anprFlowObserved:17|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,mixed,0.75,16,9,0,1,6,98.61,18.2,30,0.0509,0.5399,2.05,#0f766e
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,2,radius,177.4,anprFlowObserved:12|anprFlowObserved:11,LH,0.74,16,0,0,0,16,100.0,18.3,0,-0.2256,0.712,2.03,#7c3aed
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,4,radius,284.7,anprFlowObserved:17|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,HH,0.7,15,10,1,0,4,98.61,18.16,30,0.0512,0.5388,1.9,#b91c1c
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,4,radius,284.7,anprFlowObserved:17|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,HH,0.7,15,10,1,0,4,98.61,18.2,30,0.0567,0.5401,2.04,#b91c1c
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,2,radius,177.4,anprFlowObserved:12|anprFlowObserved:11,LH,0.69,15,0,0,0,15,100.0,18.34,0,-0.2247,0.7064,2.04,#7c3aed
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,2,radius,177.4,anprFlowObserved:12|anprFlowObserved:11,LH,0.6,13,0,0,0,13,100.0,18.25,0,-0.2281,0.7059,2.05,#7c3aed
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,3,radius,290.3,anprFlowObserved:13|anprFlowObserved:14|anprFlowObserved:17,HH,0.57,12,11,0,0,1,98.33,18.16,36,0.1444,0.5914,1.9,#b91c1c
