variable,dataset,entity_id,sensor_name,sensor_lat,sensor_lon,dominant_pattern,significant_moments_pct,significant_moments,HH_moments,LL_moments,HL_moments,LH_moments,observed_moments_pct,insufficient_moments_pct,missing_moments,mean_local_moran_i,mean_p_value,variable_signal_pct,map_color
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,HL,0.36,8,3,0,5,0,99.91,0.0,2,-0.0233,0.6223,2.17,#ea580c
PM25,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1c9e,AQ2 - San Francisco,37.6019439,-0.983765,mixed,0.27,6,0,2,3,1,7.02,0.0,2052,0.132,0.4458,2.17,#0f766e
PM25,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2d5cb4a,"AQN6 - C. Jiménez de la Espada, 43",37.607955,-0.985688,LL,0.18,4,0,3,0,1,10.19,0.0,1982,0.0163,0.4062,2.17,#1d4ed8
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,HH,0.14,3,3,0,0,0,98.73,0.0,28,0.0448,0.7008,2.17,#b91c1c
PM25,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c249e,Aquatec - C/ Jimenez de la Espada,37.60783,-0.99,no_signal,0.0,0,0,0,0,0,0.0,0.0,2207,,,2.17,#64748b
coches_total,traffic,anprFlowObserved:2,ENTRADA A C/ ANGEL BRUNA POR PASEO ALFONSO XIII – SENTIDO SUR,37.6070603,-0.9848048,HH,18.61,411,411,0,0,0,99.86,0.0,3,0.6538,0.2232,4.42,#b91c1c
coches_total,traffic,anprFlowObserved:13,ENTRADA A WSSELL DE GUIMBARDA POR AVDA. REINA VICTORIA,37.6096898,-0.986318017,LH,17.12,378,0,0,0,378,97.33,0.0,59,-0.6462,0.2039,4.42,#7c3aed
coches_total,traffic,anprFlowObserved:4,ENTRADA A C/ CARLOS III POR C/ JUAN DE LA COSA,37.6060743,-0.9823867,HH,8.7,192,178,0,1,13,99.73,0.0,6,0.3986,0.3235,4.42,#b91c1c
coches_total,traffic,anprFlowObserved:9,ENTRADA A C/ CARLOS III POR PLAZA DE ESPAÑA,37.6058105,-0.990161204,HL,4.35,96,4,0,92,0,99.91,0.0,2,-0.3783,0.4206,4.42,#ea580c
coches_total,traffic,anprFlowObserved:12,CRUCE AVDA. REINA VICTORIA CON C/ RAMÓN Y CAJAL,37.609596235,-0.991214162,HL,2.22,49,1,0,47,1,100.0,0.0,0,-0.2942,0.4743,4.42,#ea580c
coches_total,traffic,anprFlowObserved:11,ENTRADA A C/ JIMENEZ DE LA ESPADA POR ALAMEDA SAN ANTÓN,37.607378128,-0.991600329,LH,2.08,46,0,0,0,46,79.76,0.0,447,-0.363,0.408,4.42,#7c3aed
coches_total,traffic,anprFlowObserved:10,ENTRADA C/ JABONERÍAS POR C/ TOLOSA LATOUR,37.6046576,-0.9910883,LH,1.31,29,2,6,0,21,96.78,0.0,71,0.164,0.4971,4.42,#7c3aed
coches_total,traffic,anprFlowObserved:14,ENTRADA A C/ ANGEL BRUNA POR AVDA. REINA VICTORIA,37.609773785,-0.985108985,HH,1.22,27,23,0,4,0,100.0,0.0,0,0.2873,0.4562,4.42,#b91c1c
coches_total,traffic,anprFlowObserved:7,ENTRADA A PLAZA SAN AGUSTÍN,37.5993387,-0.9878055,LH,0.59,13,0,0,0,13,91.21,0.0,194,0.1226,0.542,4.42,#7c3aed
coches_total,traffic,anprFlowObserved:6,ENTRADA A C/ GISBERT POR C/ PEZ,37.5983482,-0.979599946,LH,0.45,10,0,2,1,7,91.03,0.0,198,-0.0562,0.6613,4.42,#7c3aed
coches_total,traffic,anprFlowObserved:16,ENTRADA A C/ ANGEL BRUNA POR PASEO ALFONSO XIII – SENTIDO NORTE,37.6072838,-0.984782704,mixed,0.27,6,3,0,0,3,99.73,0.0,6,0.1642,0.5373,4.42,#0f766e
coches_total,traffic,anprFlowObserved:17,ENTRADA A JUAN FERNÁNDEZ POR PASEO ALFONSO XIII,37.60696,-0.9876285,HH,0.27,6,5,0,1,0,100.0,0.0,0,0.1162,0.7053,4.42,#b91c1c
coches_total,traffic,anprFlowObserved:8,ENTRADA A PLAZA CASTELLINI,37.6022898,-0.9884421,LH,0.23,5,0,0,0,5,58.56,0.0,915,0.2033,0.4819,4.42,#7c3aed
